State,Language,Total Persons
ASSAM,TIBETAN,544
ASSAM,URDU,22398
ASSAM,WANCHO,668
BIHAR,ADI,62
BIHAR,ASSAMESE,3532
BIHAR,BENGALI,941926
BIHAR,BHOTIA,15
BIHAR,BODO,27
BIHAR,DIMASA,5
BIHAR,DOGRI,301
BIHAR,ENGLISH,2835668
BIHAR,GARO,5
BIHAR,GUJARATI,14682
BIHAR,HINDI,93033512
BIHAR,KHASI,10
BIHAR,LADAKHI,33
BIHAR,LUSHAI/MIZO,106
BIHAR,MARATHI,2977
BIHAR,MIRI/MISHING,4
BIHAR,MISHMI,6
BIHAR,NEPALI,13595
BIHAR,NISSI/DAFLA,18
BIHAR,NOCTE,1
BIHAR,ODIA,3915
BIHAR,OTHERS,109577
BIHAR,PUNJABI,16100
BIHAR,RABHA,12
BIHAR,SANSKRIT,157855
BIHAR,SANTALI,484704
BIHAR,TAMIL,1479
BIHAR,TANGSA,4
BIHAR,TELUGU,2402
BIHAR,TIBETAN,39
BIHAR,URDU,10295444
CHANDIGARH,ADI,2
CHANDIGARH,ASSAMESE,505
CHANDIGARH,BENGALI,7560
CHANDIGARH,BHOTIA,124
CHANDIGARH,BODO,6
CHANDIGARH,DIMASA,1
CHANDIGARH,DOGRI,1328
CHANDIGARH,ENGLISH,439272
CHANDIGARH,GUJARATI,1961
CHANDIGARH,HINDI,992604
CHANDIGARH,KHASI,12
CHANDIGARH,LADAKHI,271
CHANDIGARH,LUSHAI/MIZO,22
CHANDIGARH,MARATHI,1606
CHANDIGARH,NEPALI,7654
CHANDIGARH,ODIA,2143
CHANDIGARH,OTHERS,1390
CHANDIGARH,PUNJABI,465600
CHANDIGARH,SANSKRIT,1362
CHANDIGARH,SANTALI,53
CHANDIGARH,TAMIL,5840
CHANDIGARH,TELUGU,1463
CHANDIGARH,TIBETAN,47
CHANDIGARH,URDU,17188
CHHATTISGARH,ADI,9
CHHATTISGARH,ASSAMESE,2142
CHHATTISGARH,BENGALI,256473
CHHATTISGARH,BHOTIA,20
CHHATTISGARH,BODO,102
CHHATTISGARH,DEORI,1
CHHATTISGARH,DIMASA,14
CHHATTISGARH,DOGRI,873
CHHATTISGARH,ENGLISH,584045
CHHATTISGARH,GARO,13
CHHATTISGARH,GUJARATI,47191
CHHATTISGARH,HINDI,23921450
CHHATTISGARH,KARBI/MIKIR,1
CHHATTISGARH,KHASI,9
CHHATTISGARH,LADAKHI,15
CHHATTISGARH,LUSHAI/MIZO,29
CHHATTISGARH,MARATHI,181742
CHHATTISGARH,MIRI/MISHING,1
CHHATTISGARH,NEPALI,4860
CHHATTISGARH,NISSI/DAFLA,9
CHHATTISGARH,NOCTE,1
CHHATTISGARH,ODIA,947703
CHHATTISGARH,OTHERS,117089
CHHATTISGARH,PUNJABI,78313
CHHATTISGARH,RABHA,1
CHHATTISGARH,SANSKRIT,16150
CHHATTISGARH,SANTALI,18524
CHHATTISGARH,SEMA,1
CHHATTISGARH,TAMIL,11781
CHHATTISGARH,TELUGU,192576
CHHATTISGARH,TIBETAN,969
CHHATTISGARH,URDU,136758
DADRA & NAGAR HAVELI,ADI,5
DADRA & NAGAR HAVELI,ASSAMESE,1086
DADRA & NAGAR HAVELI,BENGALI,3545
DADRA & NAGAR HAVELI,BODO,28
DADRA & NAGAR HAVELI,DOGRI,7
DADRA & NAGAR HAVELI,ENGLISH,35548
DADRA & NAGAR HAVELI,GUJARATI,166570
DADRA & NAGAR HAVELI,HINDI,197641
DADRA & NAGAR HAVELI,KARBI/MIKIR,5
DADRA & NAGAR HAVELI,MARATHI,54342
DADRA & NAGAR HAVELI,MIRI/MISHING,9
DADRA & NAGAR HAVELI,NEPALI,1252
DADRA & NAGAR HAVELI,ODIA,4520
DADRA & NAGAR HAVELI,OTHERS,1290
DADRA & NAGAR HAVELI,PUNJABI,544
DADRA & NAGAR HAVELI,SANSKRIT,149
DADRA & NAGAR HAVELI,SANTALI,62
DADRA & NAGAR HAVELI,TAMIL,813
DADRA & NAGAR HAVELI,TELUGU,825
DADRA & NAGAR HAVELI,URDU,1855
DAMAN & DIU,ADI,2
DAMAN & DIU,ASSAMESE,1274
DAMAN & DIU,BENGALI,5810
DAMAN & DIU,BODO,50
DAMAN & DIU,DOGRI,2
DAMAN & DIU,ENGLISH,37413
DAMAN & DIU,GUJARATI,135379
DAMAN & DIU,HINDI,185328
DAMAN & DIU,MARATHI,12842
DAMAN & DIU,NEPALI,1487
DAMAN & DIU,ODIA,4475
DAMAN & DIU,OTHERS,2394
DAMAN & DIU,PUNJABI,332
DAMAN & DIU,RABHA,7
DAMAN & DIU,SANSKRIT,97
DAMAN & DIU,SANTALI,92
DAMAN & DIU,TAMIL,350
DAMAN & DIU,TELUGU,525
DAMAN & DIU,URDU,2281
GOA,ADI,11
GOA,ASSAMESE,1238
GOA,BENGALI,8085
GOA,BHOTIA,3
GOA,BODO,76
GOA,DIMASA,2
GOA,DOGRI,130
GOA,ENGLISH,609655
GOA,GARO,15
GOA,GUJARATI,8077
GOA,HINDI,777920
GOA,KARBI/MIKIR,1
GOA,KHASI,17
GOA,LADAKHI,4
GOA,LUSHAI/MIZO,39
GOA,MARATHI,558167
GOA,MIRI/MISHING,3
GOA,MISHMI,1
GOA,NEPALI,2784
GOA,NISSI/DAFLA,2
GOA,NOCTE,1
GOA,ODIA,5930
GOA,OTHERS,11904
GOA,PUNJABI,2711
GOA,SANSKRIT,4151
GOA,SANTALI,120
GOA,SEMA,4
GOA,SHERPA,1
GOA,TAMIL,7860
GOA,TANGSA,4
GOA,TELUGU,12005
GOA,TIBETAN,55
GOA,URDU,48589
GUJARAT,ADI,51
GUJARAT,ASSAMESE,4553
GUJARAT,BENGALI,94569
GUJARAT,BHOTIA,6
GUJARAT,BODO,143
GUJARAT,DIMASA,11
GUJARAT,DOGRI,2310
GUJARAT,ENGLISH,7517426
GUJARAT,GARO,74
GUJARAT,GUJARATI,55955758
GUJARAT,HINDI,26368167
GUJARAT,KARBI/MIKIR,1
GUJARAT,KHASI,26
GUJARAT,LADAKHI,13
GUJARAT,LUSHAI/MIZO,56
GUJARAT,MARATHI,1093018
GUJARAT,MIRI/MISHING,16
GUJARAT,MISHMI,6
GUJARAT,NEPALI,27721
GUJARAT,NISSI/DAFLA,65
GUJARAT,ODIA,184835
GUJARAT,OTHERS,147665
GUJARAT,PUNJABI,76430
GUJARAT,RABHA,1603
GUJARAT,SANSKRIT,58492
GUJARAT,SANTALI,318
GUJARAT,TAMIL,43346
GUJARAT,TANGSA,2
GUJARAT,TELUGU,76638
GUJARAT,TIBETAN,17
GUJARAT,URDU,768485
JAMMU & KASHMIR,ADI,16
JAMMU & KASHMIR,ASSAMESE,548
JAMMU & KASHMIR,BENGALI,22070
JAMMU & KASHMIR,BHOTIA,108999
JAMMU & KASHMIR,BODO,543
JAMMU & KASHMIR,DEORI,1
JAMMU & KASHMIR,DIMASA,4
JAMMU & KASHMIR,DOGRI,2668351
JAMMU & KASHMIR,ENGLISH,2004492
JAMMU & KASHMIR,GARO,46
JAMMU & KASHMIR,GUJARATI,21834
JAMMU & KASHMIR,HINDI,4765033
JAMMU & KASHMIR,KARBI/MIKIR,6
JAMMU & KASHMIR,KHASI,1357
JAMMU & KASHMIR,LADAKHI,10039
JAMMU & KASHMIR,LUSHAI/MIZO,526
JAMMU & KASHMIR,MARATHI,24416
JAMMU & KASHMIR,MIRI/MISHING,12
JAMMU & KASHMIR,MISHMI,4
JAMMU & KASHMIR,NEPALI,24834
JAMMU & KASHMIR,NISSI/DAFLA,17
JAMMU & KASHMIR,NOCTE,7
JAMMU & KASHMIR,ODIA,9707
JAMMU & KASHMIR,OTHERS,19251
JAMMU & KASHMIR,PUNJABI,283145
JAMMU & KASHMIR,RABHA,6
JAMMU & KASHMIR,SANSKRIT,1517
JAMMU & KASHMIR,SANTALI,241
JAMMU & KASHMIR,SEMA,16
JAMMU & KASHMIR,SHERPA,21
JAMMU & KASHMIR,TAMIL,17060
JAMMU & KASHMIR,TELUGU,14702
JAMMU & KASHMIR,TIBETAN,103132
JAMMU & KASHMIR,URDU,3693157
JAMMU & KASHMIR,WANCHO,3
JHARKHAND,ADI,844
JHARKHAND,ASSAMESE,1840
JHARKHAND,BENGALI,4159584
JHARKHAND,BHOTIA,1
JHARKHAND,BODO,94
JHARKHAND,DEORI,1
JHARKHAND,DIMASA,12
JHARKHAND,DOGRI,358
JHARKHAND,ENGLISH,1698844
JHARKHAND,GARO,7
JHARKHAND,GUJARATI,37595
JHARKHAND,HINDI,28181660
JHARKHAND,KARBI/MIKIR,2
JHARKHAND,KHASI,7
JHARKHAND,LADAKHI,1
JHARKHAND,LUSHAI/MIZO,99
JHARKHAND,MARATHI,9897
JHARKHAND,MIRI/MISHING,5
JHARKHAND,MISHMI,3
JHARKHAND,NEPALI,20148
JHARKHAND,NISSI/DAFLA,8
JHARKHAND,ODIA,716315
JHARKHAND,OTHERS,29179
JHARKHAND,PUNJABI,87421
JHARKHAND,RABHA,3
JHARKHAND,SANSKRIT,46858
JHARKHAND,SANTALI,3412937
JHARKHAND,SEMA,2
JHARKHAND,TAMIL,11027
JHARKHAND,TANGSA,1
JHARKHAND,TELUGU,32345
JHARKHAND,TIBETAN,8
JHARKHAND,URDU,2348585
KARNATAKA,ADI,233
KARNATAKA,ASSAMESE,11537
KARNATAKA,BENGALI,105419
KARNATAKA,BHOTIA,907
KARNATAKA,BODO,455
KARNATAKA,DEORI,17
KARNATAKA,DIMASA,20
KARNATAKA,DOGRI,927
KARNATAKA,ENGLISH,7229228
KARNATAKA,GARO,48
KARNATAKA,GUJARATI,126135
KARNATAKA,HINDI,7495476
KARNATAKA,KARBI/MIKIR,41
KARNATAKA,KHASI,377
KARNATAKA,LADAKHI,676
KARNATAKA,LUSHAI/MIZO,477
KARNATAKA,MARATHI,3010564
KARNATAKA,MIRI/MISHING,8
KARNATAKA,MISHMI,2
KARNATAKA,NEPALI,21068
KARNATAKA,NISSI/DAFLA,28
KARNATAKA,NOCTE,2
KARNATAKA,ODIA,68589
KARNATAKA,OTHERS,403835
KARNATAKA,PUNJABI,33022
KARNATAKA,RABHA,3
KARNATAKA,SANSKRIT,15317
KARNATAKA,SANTALI,357
KARNATAKA,SEMA,68
KARNATAKA,SHERPA,8
KARNATAKA,TAMIL,2998093
KARNATAKA,TANGSA,41
KARNATAKA,TELUGU,7216601
KARNATAKA,TIBETAN,31057
KARNATAKA,URDU,6810994
KARNATAKA,WANCHO,1
KERALA,ADI,33
KERALA,ASSAMESE,6518
KERALA,BENGALI,32140
KERALA,BHOTIA,5
KERALA,BODO,52
KERALA,DIMASA,2
KERALA,DOGRI,313
KERALA,ENGLISH,6730598
KERALA,GARO,10
KERALA,GUJARATI,8963
KERALA,HINDI,3047549
KERALA,KARBI/MIKIR,13
KERALA,KHASI,22
