State,Language,Total Persons
PUDUCHERRY,TIBETAN,11
PUDUCHERRY,URDU,11132
PUNJAB,ADI,39
PUNJAB,ASSAMESE,4681
PUNJAB,BENGALI,32094
PUNJAB,BHOTIA,27
PUNJAB,BODO,315
PUNJAB,DIMASA,21
PUNJAB,DOGRI,23054
PUNJAB,ENGLISH,8336081
PUNJAB,GARO,44
PUNJAB,GUJARATI,15986
PUNJAB,HINDI,14160545
PUNJAB,KHASI,88
PUNJAB,LADAKHI,1170
PUNJAB,LUSHAI/MIZO,504
PUNJAB,MARATHI,22276
PUNJAB,MIRI/MISHING,1
PUNJAB,MISHMI,1
PUNJAB,NEPALI,25497
PUNJAB,NISSI/DAFLA,545
PUNJAB,NOCTE,15
PUNJAB,ODIA,10143
PUNJAB,OTHERS,8269
PUNJAB,PUNJABI,25745129
PUNJAB,RABHA,6
PUNJAB,SANSKRIT,5873
PUNJAB,SANTALI,258
PUNJAB,SEMA,6
PUNJAB,TAMIL,11918
PUNJAB,TANGSA,1
PUNJAB,TELUGU,10069
PUNJAB,TIBETAN,490
PUNJAB,URDU,111406
PUNJAB,WANCHO,5
RAJASTHAN,ADI,927
RAJASTHAN,ASSAMESE,3607
RAJASTHAN,BENGALI,92737
RAJASTHAN,BHOTIA,42
RAJASTHAN,BODO,111
RAJASTHAN,DEORI,8
RAJASTHAN,DIMASA,3
RAJASTHAN,DOGRI,5612
RAJASTHAN,ENGLISH,3119819
RAJASTHAN,GARO,29
RAJASTHAN,GUJARATI,157367
RAJASTHAN,HINDI,65149208
RAJASTHAN,KARBI/MIKIR,3
RAJASTHAN,KHASI,67
RAJASTHAN,LADAKHI,364
RAJASTHAN,LUSHAI/MIZO,192
RAJASTHAN,MARATHI,30331
RAJASTHAN,MIRI/MISHING,3
RAJASTHAN,MISHMI,19
RAJASTHAN,NEPALI,9711
RAJASTHAN,NISSI/DAFLA,71
RAJASTHAN,NOCTE,5
RAJASTHAN,ODIA,17650
RAJASTHAN,OTHERS,364919
RAJASTHAN,PUNJABI,2465892
RAJASTHAN,RABHA,768
RAJASTHAN,SANSKRIT,346761
RAJASTHAN,SANTALI,270
RAJASTHAN,SEMA,2
RAJASTHAN,TAMIL,11242
RAJASTHAN,TANGSA,2
RAJASTHAN,TELUGU,9526
RAJASTHAN,TIBETAN,43
RAJASTHAN,URDU,1057545
RAJASTHAN,WANCHO,1
SIKKIM,ADI,9
SIKKIM,ASSAMESE,1340
SIKKIM,BENGALI,10130
SIKKIM,BHOTIA,45953
SIKKIM,BODO,89
SIKKIM,DIMASA,1
SIKKIM,DOGRI,349
SIKKIM,ENGLISH,169054
SIKKIM,GARO,22
SIKKIM,GUJARATI,227
SIKKIM,HINDI,292854
SIKKIM,KARBI/MIKIR,8
SIKKIM,KHASI,71
SIKKIM,LADAKHI,88
SIKKIM,LUSHAI/MIZO,58
SIKKIM,MARATHI,1221
SIKKIM,MIRI/MISHING,1
SIKKIM,MISHMI,5
SIKKIM,NEPALI,520078
SIKKIM,NISSI/DAFLA,3
SIKKIM,ODIA,1048
SIKKIM,OTHERS,6118
SIKKIM,PUNJABI,2174
SIKKIM,RABHA,32
SIKKIM,SANSKRIT,631
SIKKIM,SANTALI,318
SIKKIM,SEMA,1
SIKKIM,SHERPA,14538
SIKKIM,TAMIL,944
SIKKIM,TELUGU,1112
SIKKIM,TIBETAN,4187
SIKKIM,URDU,2409
SIKKIM,WANCHO,1
TAMIL NADU,ADI,46
TAMIL NADU,ASSAMESE,2863
TAMIL NADU,BENGALI,70327
TAMIL NADU,BHOTIA,12
TAMIL NADU,BODO,74
TAMIL NADU,DIMASA,269
TAMIL NADU,DOGRI,1000
TAMIL NADU,ENGLISH,13337789
TAMIL NADU,GARO,13
TAMIL NADU,GUJARATI,292663
TAMIL NADU,HINDI,1524049
TAMIL NADU,KARBI/MIKIR,2
TAMIL NADU,KHASI,123
TAMIL NADU,LADAKHI,21
TAMIL NADU,LUSHAI/MIZO,146
TAMIL NADU,MARATHI,97741
TAMIL NADU,MISHMI,3
TAMIL NADU,NEPALI,7967
TAMIL NADU,NISSI/DAFLA,46
TAMIL NADU,ODIA,23072
TAMIL NADU,OTHERS,42332
TAMIL NADU,PUNJABI,8090
TAMIL NADU,RABHA,6
TAMIL NADU,SANSKRIT,14686
TAMIL NADU,SANTALI,173
TAMIL NADU,SEMA,34
TAMIL NADU,TAMIL,69404292
TAMIL NADU,TANGSA,1
TAMIL NADU,TELUGU,5804634
TAMIL NADU,TIBETAN,254
TAMIL NADU,URDU,1405712
TRIPURA,ADI,18
TRIPURA,ASSAMESE,4614
TRIPURA,BENGALI,3269107
TRIPURA,BHOTIA,3
TRIPURA,BODO,556
TRIPURA,DEORI,4
TRIPURA,DIMASA,17
TRIPURA,DOGRI,603
TRIPURA,ENGLISH,276541
TRIPURA,GARO,21598
TRIPURA,GUJARATI,1453
TRIPURA,HINDI,365538
TRIPURA,KARBI/MIKIR,13
TRIPURA,KHASI,1338
TRIPURA,LADAKHI,1
TRIPURA,LUSHAI/MIZO,16042
TRIPURA,MARATHI,1510
TRIPURA,MIRI/MISHING,6
TRIPURA,MISHMI,19
TRIPURA,NEPALI,3252
TRIPURA,NISSI/DAFLA,231
TRIPURA,NOCTE,3
TRIPURA,ODIA,27146
TRIPURA,OTHERS,6101
TRIPURA,PUNJABI,1309
TRIPURA,RABHA,68
TRIPURA,SANSKRIT,1182
TRIPURA,SANTALI,4105
TRIPURA,SEMA,3
TRIPURA,TAMIL,1096
TRIPURA,TANGSA,4
TRIPURA,TELUGU,3958
TRIPURA,TIBETAN,2
TRIPURA,URDU,1017
TRIPURA,WANCHO,21
UTTAR PRADESH,ADI,107
UTTAR PRADESH,ASSAMESE,12662
UTTAR PRADESH,BENGALI,320308
UTTAR PRADESH,BHOTIA,295
UTTAR PRADESH,BODO,244
UTTAR PRADESH,DIMASA,33
UTTAR PRADESH,DOGRI,3397
UTTAR PRADESH,ENGLISH,12826390
UTTAR PRADESH,GARO,30
UTTAR PRADESH,GUJARATI,31508
UTTAR PRADESH,HINDI,194610346
UTTAR PRADESH,KARBI/MIKIR,4
UTTAR PRADESH,KHASI,63
UTTAR PRADESH,LADAKHI,83
UTTAR PRADESH,LUSHAI/MIZO,245
UTTAR PRADESH,MARATHI,39441
UTTAR PRADESH,MIRI/MISHING,6
UTTAR PRADESH,MISHMI,275
UTTAR PRADESH,NEPALI,30783
UTTAR PRADESH,NISSI/DAFLA,151
UTTAR PRADESH,NOCTE,1
UTTAR PRADESH,ODIA,26848
UTTAR PRADESH,OTHERS,39325
UTTAR PRADESH,PUNJABI,735107
UTTAR PRADESH,RABHA,15
UTTAR PRADESH,SANSKRIT,1234670
UTTAR PRADESH,SANTALI,1169
UTTAR PRADESH,SEMA,15
UTTAR PRADESH,SHERPA,7
UTTAR PRADESH,TAMIL,17782
UTTAR PRADESH,TANGSA,1
UTTAR PRADESH,TELUGU,16164
UTTAR PRADESH,TIBETAN,332
UTTAR PRADESH,URDU,14586879
UTTAR PRADESH,WANCHO,11
UTTARAKHAND,ADI,80
UTTARAKHAND,ASSAMESE,2016
UTTARAKHAND,BENGALI,159988
UTTARAKHAND,BHOTIA,9467
UTTARAKHAND,BODO,55
UTTARAKHAND,DIMASA,9
UTTARAKHAND,DOGRI,5192
UTTARAKHAND,ENGLISH,843419
UTTARAKHAND,GARO,31
UTTARAKHAND,GUJARATI,4918
UTTARAKHAND,HINDI,9802772
UTTARAKHAND,KARBI/MIKIR,3
UTTARAKHAND,KHASI,23
UTTARAKHAND,LADAKHI,282
UTTARAKHAND,LUSHAI/MIZO,134
UTTARAKHAND,MARATHI,7093
UTTARAKHAND,MIRI/MISHING,2
UTTARAKHAND,MISHMI,23
UTTARAKHAND,NEPALI,120410
UTTARAKHAND,NISSI/DAFLA,7636
UTTARAKHAND,ODIA,4071
UTTARAKHAND,OTHERS,6812
UTTARAKHAND,PUNJABI,322618
UTTARAKHAND,RABHA,3
UTTARAKHAND,SANSKRIT,22630
UTTARAKHAND,SANTALI,511
UTTARAKHAND,SEMA,10
UTTARAKHAND,TAMIL,3066
UTTARAKHAND,TANGSA,8
UTTARAKHAND,TELUGU,3518
UTTARAKHAND,TIBETAN,10532
UTTARAKHAND,URDU,590593
UTTARAKHAND,WANCHO,1
WEST BENGAL,ADI,689
WEST BENGAL,ASSAMESE,23104
WEST BENGAL,BENGALI,83495623
WEST BENGAL,BHOTIA,5576
WEST BENGAL,BODO,44853
WEST BENGAL,DEORI,1
WEST BENGAL,DIMASA,26
WEST BENGAL,DOGRI,1947
WEST BENGAL,ENGLISH,6118166
WEST BENGAL,GARO,1963
WEST BENGAL,GUJARATI,45879
WEST BENGAL,HINDI,12621432
WEST BENGAL,KARBI/MIKIR,6
WEST BENGAL,KHASI,311
WEST BENGAL,LADAKHI,29
WEST BENGAL,LUSHAI/MIZO,556
WEST BENGAL,MARATHI,18698
WEST BENGAL,MIRI/MISHING,7
WEST BENGAL,MISHMI,48
WEST BENGAL,NEPALI,1315182
WEST BENGAL,NISSI/DAFLA,10453
WEST BENGAL,NOCTE,8
WEST BENGAL,ODIA,255705
WEST BENGAL,OTHERS,82709
WEST BENGAL,PUNJABI,68189
WEST BENGAL,RABHA,14584
WEST BENGAL,SANSKRIT,18523
WEST BENGAL,SANTALI,2528836
WEST BENGAL,SEMA,54
WEST BENGAL,SHERPA,1775
WEST BENGAL,TAMIL,18870
WEST BENGAL,TANGSA,1
WEST BENGAL,TELUGU,92476
WEST BENGAL,TIBETAN,10104
WEST BENGAL,URDU,1817645
WEST BENGAL,WANCHO,10
